Store_Number,Store_Name,Status,WFM_Region,WFM_Region_Abbr,Op_Area,UNFI_DC,UNFI_Region,Distributor,Merch_Partner,Wire_Rack,DC_Source,Address,City,State,Zip,Latitude,Longitude
10033,Campbell,Open,Northern California,NC,California,"Gilroy, CA",West,UNFI,Uncovered,No,mapped,1690 S Bascom Ave,Campbell,CA,95008,37.2929153,-121.9305
10646,Canyon Corners,Open,Rocky Mountain,RM,Central West,"Aurora, CO",West,UNFI,Basemakers,No,mapped,6598 N Landmark Dr,Park City,UT,84098,40.7271881,-111.5469
10746,Capitol Hill,Open,Rocky Mountain,RM,Central West,"Aurora, CO",,UNFI,Uncovered,No,inferred (region modal),900 E 11th Ave,Denver,CO,80218,39.7332916,-104.9758
10405,Capitol Hill CLOSED,Closed,Rocky Mountain,RM,Central West,"Aurora, CO",,Unknown,Uncovered,No,inferred (region modal),900 E 11th Ave,Denver,CO,80218,39.7332916,-104.9758
10365,Capitola,Open,Northern California,NC,California,"Gilroy, CA",West,UNFI,Uncovered,No,mapped,1710 41st Ave,Capitola,CA,95010,36.9742928,-121.9636
10404,Carmel,Open,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",East,UNFI,Uncovered,No,mapped,14598 Clay Terrace Blvd,Carmel,IN,46032,39.9990845,-86.1311
10339,Carrollwood,Open,Florida,FL,Southeast,"Sarasota, FL",East,UNFI,Uncovered,No,mapped,3802 Northdale Blvd,Tampa,FL,33624,28.0931797,-82.5041
10132,Cary,Open,South,SO,Southeast,"Atlanta, GA",East,UNFI,Basemakers,No,mapped,102B New Waverly Pl,Cary,NC,27518,35.7373619,-78.7772
10459,Castle Rock,Open,Rocky Mountain,RM,Central West,"Aurora, CO",,UNFI,Basemakers,No,inferred (region modal),6384 Promenade Pkwy,Castle Rock,CO,80108,39.4233818,-104.8775
10396,Castro,Open,Northern California,NC,California,"Gilroy, CA",West,UNFI,Basemakers,No,mapped,2001 Market St,San Francisco,CA,94114,37.7686081,-122.4271
10199,Cedar Center,Open,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",East,UNFI,Uncovered,No,mapped,13998 Cedar Rd,University Heights,OH,44118,41.5008545,-81.5367
10665,Cedar Park,Open,Southwest,SW,Central West,"Lancaster, TX",West,UNFI,Final Touch,No,mapped,5001 183A Toll Rd,Cedar Park,TX,78613,30.5357399,-97.8177
10104,Cerrillos,Open,Rocky Mountain,RM,Central West,"Aurora, CO",West,UNFI,Uncovered,No,mapped,753 Cerrillos Rd,Santa Fe,NM,87505,35.6788979,-105.9502
10309,Chagrin,Closed,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",East,Unknown,Uncovered,No,mapped,27249 Chagrin Blvd,Beachwood,OH,44122,41.4633369,-81.486
